file,label,geometry_type,method,status,error,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score
valve_0003_lidar_classes.ply,8,tubular,ball_pivoting,ok,,0.005365031202733202,0.006691410182043668,0.013919775901738629,0.009723323922359806,0.015088355125093007,1,1.0,0.6514220942486584,0.6055387072043301,127,176,0.0,1.745632866586586,1.0,0.019606896524004786,0.9807701413252031,1.0,0.8965772121323833
valve_0003_lidar_classes.ply,8,tubular,poisson,ok,,0.005719131396616198,0.008117745513489628,0.01616532080143009,0.009828569578661248,0.015547700975277447,2,0.9934533551554828,0.21825523249281667,0.8208460537073018,666,1222,0.05155482815057283,10.752965172297499,0.9484451718494271,0.023786285993692282,0.9767663561046773,0.5,0.8115143954153515
valve_0003_lidar_classes.ply,9,tubular,alpha_shape,ok,,0.0059729274037177175,0.0072707589919511545,0.01570445767983724,0.0088992876319152,0.014872215035632918,1,1.0,0.7184238312726322,0.5819286149328009,240,493,0.006085192697768763,2.0682111628090736,0.9939148073022313,0.016059925516063014,0.9841939189680117,1.0,0.890009335300761
valve_0003_lidar_classes.ply,9,tubular,ball_pivoting,ok,,0.0045813852560189355,0.005227932416432853,0.00947148037759393,0.00733609619265145,0.011917481448670386,1,1.0,0.3258484815587592,0.7542339972545964,258,459,0.006535947712418301,1.7753742233901468,0.9934640522875817,0.011547653457344442,0.9885841725618403,1.0,0.9340705555260046
valve_0003_lidar_classes.ply,9,tubular,poisson,ok,,0.006446539970387197,0.0075310682544925634,0.014500727160039072,0.008587436563062639,0.015033976533449836,1,1.0,0.1860199620976311,0.8431561288659675,511,915,0.07650273224043716,5.575816709475283,0.9234972677595629,0.016634906391124922,0.9836372858274404,1.0,0.9375726706132427
valve_0003_lidar_classes.ply,10,tubular,alpha_shape,ok,,0.006328684142397201,0.007673129272077716,0.015013872478080977,0.009835440385071148,0.01616412452746835,1,1.0,0.7743380207709611,0.5635904705268581,245,503,0.0,2.0744949074327077,1.0,0.016338189764522826,0.9839244555315705,1.0,0.8868787315146072
valve_0003_lidar_classes.ply,10,tubular,ball_pivoting,ok,,0.0072838755649179835,0.008917787092492717,0.01831065506001236,0.008810690953190823,0.016094566518108807,1,1.0,0.4128703094209828,0.7077790461955537,260,321,0.0,1.8469172846221609,1.0,0.01898840650671141,0.9813654342037047,1.0,0.9222861200998146
valve_0003_lidar_classes.ply,10,tubular,poisson,ok,,0.006653012205414586,0.0077473031726436395,0.013730903761160087,0.008605222487228385,0.015258234692642971,1,1.0,0.14829964516228558,0.8708528337641985,450,815,0.0736196319018405,3.880214922711741,0.9263803680981595,0.016496126275175767,0.9837715797937925,1.0,0.9452511954140376
valve_0003_lidar_classes.ply,11,tubular,alpha_shape,ok,,0.0084321912680233,0.010910453814822028,0.021442092097494727,0.01029700080650469,0.01872919207452799,15,0.8734177215189873,0.7159943308457084,0.5827525079917725,319,632,0.0,1.9351416468125502,1.0,0.017541056419079954,0.9827613280973544,0.06666666666666667,0.6580451256889484
valve_0003_lidar_classes.ply,11,tubular,ball_pivoting,ok,,0.00682157438998605,0.007877147764902623,0.012920459720853645,0.009637252058172403,0.016458826448158454,1,1.0,0.35907813081689666,0.7357928711566665,345,562,0.0017793594306049821,1.8025724483607621,0.998220640569395,0.012664321366529736,0.9874940579031756,1.0,0.9303768924073093
valve_0003_lidar_classes.ply,11,tubular,poisson,ok,,0.007626631367312924,0.008440756020585912,0.013825759794303151,0.020005968029534863,0.027632599396847788,1,1.0,0.11618941306980228,0.8959052901691191,907,1696,0.05365566037735849,8.841557322272996,0.9463443396226415,0.01357045088038819,0.9866112406211123,1.0,0.9572152176032181
valve_0003_lidar_classes.ply,12,tubular,alpha_shape,ok,,0.009571167397504934,0.011446619081641825,0.020537261983853108,0.010282147335423854,0.019853314732928787,8,0.7880859375,0.7995286146166131,0.5557010829822501,521,1024,0.0009765625,2.019526019708594,0.9990234375,0.013355998844915506,0.9868200327820239,0.125,0.6666361383160685
valve_0003_lidar_classes.ply,12,tubular,ball_pivoting,ok,,0.007903671939222794,0.00926194026331799,0.016399275414155243,0.00948141706928062,0.017385089008503413,1,1.0,0.268743666440805,0.7881812744770509,573,934,0.0010706638115631692,1.8343990845733082,0.9989293361884368,0.010806899624793705,0.9893086408207096,1.0,0.9441048128715492
valve_0003_lidar_classes.ply,12,tubular,poisson,ok,,0.01093013058288747,0.013887638321666309,0.027364564701736864,0.01861992285807851,0.029550053440965982,3,0.9920922570016475,0.15597580381548645,0.8650700098560343,1603,3035,0.049093904448105435,5.275888217472515,0.9509060955518945,0.016204197943500982,0.9840541911002793,0.3333333333333333,0.7833409074603854
valve_0003_lidar_classes.ply,13,tubular,alpha_shape,ok,,0.01321433177433053,0.017864034053501447,0.038107601288902296,0.00826551964344747,0.021479851417778,144,0.3703976435935199,1.2275613539482078,0.44892141723843654,879,1358,0.005154639175257732,1.9342205819164613,0.9948453608247423,0.018530091108533743,0.9818070263507225,0.006944444444444444,0.6081295622145864
valve_0003_lidar_classes.ply,13,tubular,ball_pivoting,ok,,0.009538768757218982,0.01098734988489719,0.019331354755096227,0.009889706929198046,0.019428475686417028,1,1.0,0.14498657747357377,0.8733726837274475,1063,1938,0.0046439628482972135,1.783429515127183,0.9953560371517027,0.011397011100556912,0.9887314170642493,1.0,0.9643650344858499
valve_0003_lidar_classes.ply,13,tubular,poisson,ok,,0.01205528523992008,0.013661158626980143,0.023043952882563185,0.01980484738670141,0.03186013262662149,1,1.0,0.09380707944037632,0.9142380030230096,2571,4919,0.04187843057532019,4.769166857855379,0.9581215694246799,0.014170512284511485,0.9860274854051997,1.0,0.9645967644632223
valve_0004_lidar_classes.ply,0,plane,alpha_shape,ok,,0.008270016107536022,0.010611594633869285,0.0216808289707146,0.006671097543606275,0.014941113651142297,91,0.495970695970696,1.1975753515009209,0.4550469677032965,844,1365,0.004395604395604396,1.9917236817546806,0.9956043956043956,0.02417630114554907,0.9763943950680095,0.01098901098901099,0.6095086923411781
valve_0004_lidar_classes.ply,0,plane,ball_pivoting,ok,,0.00632334318110569,0.007413311621413242,0.013449120872081442,0.006275868561406712,0.012599211742512401,2,0.7397899649941657,0.1242170285676824,0.8895079638440078,994,1714,0.0029171528588098016,1.7718876548288713,0.9970828471411902,0.01688968156331978,0.9833908418292195,0.5,0.8424954132036044
valve_0004_lidar_classes.ply,0,plane,poisson,ok,,0.008427628277372572,0.011411466862435363,0.02292728659557149,0.010626897135162565,0.019054525412535137,7,0.7814323607427056,0.18810529407069154,0.8416762428301247,1960,3770,0.03474801061007957,5.661408030124443,0.9652519893899204,0.025998642889932474,0.9746601585975767,0.14285714285714285,0.7311113834186912
valve_0004_lidar_classes.ply,1,spherical,alpha_shape,ok,,0.00726496847719464,0.008162719981025975,0.014425315330579282,0.014446167837051247,0.021711136314245885,1,1.0,0.8420942293346034,0.5428603944767894,206,431,0.0069605568445475635,2.2276099802275597,0.9930394431554525,0.020273587173765394,0.980129263926233,1.0,0.8790072753896186
