file,label,n_points
valve_0040_lidar_classes.ply,11,390
valve_0040_lidar_classes.ply,12,489
valve_0040_lidar_classes.ply,13,1073
valve_0041_lidar_classes.ply,0,960
valve_0041_lidar_classes.ply,1,263
valve_0041_lidar_classes.ply,2,153
valve_0041_lidar_classes.ply,3,400
valve_0041_lidar_classes.ply,4,327
valve_0041_lidar_classes.ply,5,136
valve_0041_lidar_classes.ply,6,769
valve_0041_lidar_classes.ply,7,218
valve_0041_lidar_classes.ply,8,208
valve_0041_lidar_classes.ply,9,250
valve_0041_lidar_classes.ply,10,308
valve_0041_lidar_classes.ply,11,336
valve_0041_lidar_classes.ply,12,710
valve_0041_lidar_classes.ply,13,1014
valve_0042_lidar_classes.ply,0,928
valve_0042_lidar_classes.ply,1,255
valve_0042_lidar_classes.ply,2,180
valve_0042_lidar_classes.ply,3,358
valve_0042_lidar_classes.ply,4,342
valve_0042_lidar_classes.ply,5,106
valve_0042_lidar_classes.ply,6,798
valve_0042_lidar_classes.ply,7,115
valve_0042_lidar_classes.ply,8,223
valve_0042_lidar_classes.ply,9,317
valve_0042_lidar_classes.ply,10,235
valve_0042_lidar_classes.ply,11,365
valve_0042_lidar_classes.ply,12,509
valve_0042_lidar_classes.ply,13,941
valve_0043_lidar_classes.ply,0,1017
valve_0043_lidar_classes.ply,1,233
valve_0043_lidar_classes.ply,2,152
valve_0043_lidar_classes.ply,3,410
valve_0043_lidar_classes.ply,4,348
valve_0043_lidar_classes.ply,5,104
valve_0043_lidar_classes.ply,6,820
valve_0043_lidar_classes.ply,7,104
valve_0043_lidar_classes.ply,8,211
valve_0043_lidar_classes.ply,9,319
valve_0043_lidar_classes.ply,10,231
valve_0043_lidar_classes.ply,11,396
valve_0043_lidar_classes.ply,12,456
valve_0043_lidar_classes.ply,13,986
valve_0044_lidar_classes.ply,0,1090
valve_0044_lidar_classes.ply,1,227
valve_0044_lidar_classes.ply,2,171
valve_0044_lidar_classes.ply,3,395
valve_0044_lidar_classes.ply,4,360
valve_0044_lidar_classes.ply,5,113
valve_0044_lidar_classes.ply,6,741
valve_0044_lidar_classes.ply,7,114
valve_0044_lidar_classes.ply,8,211
valve_0044_lidar_classes.ply,9,328
valve_0044_lidar_classes.ply,10,248
valve_0044_lidar_classes.ply,11,359
valve_0044_lidar_classes.ply,12,484
valve_0044_lidar_classes.ply,13,1040
valve_0045_lidar_classes.ply,0,956
valve_0045_lidar_classes.ply,1,227
valve_0045_lidar_classes.ply,2,165
valve_0045_lidar_classes.ply,3,389
valve_0045_lidar_classes.ply,4,361
valve_0045_lidar_classes.ply,5,132
valve_0045_lidar_classes.ply,6,759
valve_0045_lidar_classes.ply,7,155
valve_0045_lidar_classes.ply,8,126
valve_0045_lidar_classes.ply,9,245
valve_0045_lidar_classes.ply,10,290
valve_0045_lidar_classes.ply,11,393
valve_0045_lidar_classes.ply,12,483
valve_0045_lidar_classes.ply,13,1021
